SampleID	TG(26:0/18:1/18:2)	DG(22:1/18:2)	DG(18:1/22:1)	TG(18:1/22:1/24:1)	TG(18:1/18:2/22:1)	TG(18:1/18:2/22:0)	TG(22:1/18:2/22:1)	SM(d34:1)	TG(18:1/22:1/24:0)	TG(24:4/16:0/18:1)
CP_32	-0.0423325508626485	0.362039982817671	0.523560503730962	-0.160611073524585	0.107086674314394	0.357108164922051	0.384018372745846	-1.04104257200106	-0.459948814329767	-0.617011256564569
CP_33	-0.189269831975314	-0.0947425745967364	-0.104303403630408	-0.26008803608527	-0.137051511112375	-0.0222407879098679	0.367057127820438	-0.854359257054454	-0.134579116877182	0.0832036599297015
CP_34	-0.726415827859805	-0.474727551978792	-0.408022450915776	-0.649513926867105	-0.706304473800178	-0.803028394615644	-0.860495538803241	-1.72721157156693	-0.784878454306375	-0.295711493750635
CP_35	1.50128357416222	0.468108546698446	1.72572963314176	1.30298401694173	1.09108558918637	1.46627894518837	0.989870908567654	-1.46568308305029	2.15345099040304	0.330298929683752
CP_36	-0.424728716134009	-0.321385190178035	-0.494037001164789	-0.201400434475568	-0.617727756027494	-0.455133157885618	0.00859731301239983	-1.82230657851367	0.281519141159712	-0.0998095253003264
CP_37	-0.714694852159694	-0.531120644170122	-0.422343594186281	-0.502283678336594	-0.748321392335764	-0.873080876476258	-0.697616469663931	-0.365729899194506	-0.286108920308221	-0.531072654801408
CPR_01	1.99344824364495	1.79512327079009	1.65050115787397	1.9074761491032	1.90592729006243	1.74566493271295	1.94733336410429	1.37469092056463	1.82666561290437	1.90607152616817
CPR_02	1.34765796116196	1.84530632274297	1.60461278725214	0.777824854368369	1.92309825798375	1.60921069123603	1.61617271738643	0.74671733024318	0.230821445306904	2.10437668440852
CPR_03	1.48803208183802	2.28298827355906	2.1918700215889	0.998552542563477	1.78817984244231	1.69199293990131	1.54437311566901	1.06058518647234	0.587611801963307	1.69654928692809
CPR_04	1.75871026008764	2.20278492279755	2.04491986854883	1.33782418016936	2.04503209121187	1.84339666509738	1.72426886106453	1.41082210075736	0.905442304714558	2.26468008062194
CPR_05	1.69633685926291	1.22146643520601	1.3431351203638	1.5794128847346	1.49014355040244	1.57913204662294	1.6448266594431	0.768023713846004	1.50880655894155	1.18914887363828
CPR_06	1.38678646878507	0.65090735969603	0.856576106023733	1.2108357097231	1.33219108012152	1.41359224549841	1.11758849587089	1.38615389224327	1.18951414683409	1.0982680253877
CPR_07	2.334331089514	2.02408136565569	1.96858246569482	2.28383940692663	2.33686188964566	2.15545430354592	2.36911409667194	1.47183307651271	2.11545211949652	2.54651991562711
CPR_08	2.20456088823972	2.34404643238353	2.25294820637762	2.024963809223	2.24111849319552	2.04666766268153	2.12093575454542	1.2665520705628	1.75349889838613	2.43956514584181
