ID	LipidIon	log_t.test_p.value_BHcorrect	logFC	VIP	VIP_num	Regulate
4.95_802.535901451807	PC(36:5)(rep)	0.348683296279163	0.0666564462740124	VIP <1	0.30555560238298	Normal
4.95_802.537642524096	PC(38:8)(rep)	0.301777383144005	0.101094370264022	VIP <1	0.320762322509166	Normal
4.95_900.559987240964	PI(16:0/22:6)(rep)	0.49797343526919	0.171879048221189	VIP <1	0.415067602679012	Normal
4.96_697.526076078313	SM(d16:1/18:3)	1.21228298836688	-0.148219443015013	VIP <1	0.47969111213155	Normal
4.96_824.545887638554	PC(18:3/18:2)	1.3128485170661	-0.0970742192718065	VIP <1	0.588017887460929	Normal
4.99_854.569770584337	PC(42:10)(rep)	1.00382995215602	-0.216015514296582	VIP <1	0.619442521477109	Normal
5_898.560882855422	PC(20:4/22:6)	1.14131443456991	-0.233791657625025	VIP <1	0.669270733568792	Normal
5.01_766.538506740964	PC(35:5)	0.116543716748125	0.094053435468266	VIP <1	0.73722351502759	Normal
5.01_775.57510339759	SM(d40:7)	0.168168349550707	0.0811382921989653	VIP <1	0.486164858041583	Normal
5.01_857.519885759036	PI(16:0/20:4)	0.0903980934444698	-0.0132663465713045	VIP <1	0.414775407563671	Normal
5.02_678.50682263253	PC(28:0)	1.21137788554402	-0.539414777223985	VIP <1	0.961331461826692	Normal
5.02_771.518167	PG(18:1/18:2)	1.03466998728499	0.275644856279656	VIP <1	0.534995243058081	Normal
5.03_810.52907510241	PC(15:0/20:5)	0.0598681975066465	0.158340620528384	VIP <1	0.663998472714038	Normal
5.03_814.574526180723	PC(40:8p)	4.60741980376519	-1.27155092891352	VIP >=1	2.02152937298215	Down
5.03_834.59394436747	CerG2(d16:1/16:0)	0.404499992900773	0.175282697230549	VIP <1	0.31215044875996	Normal
5.05_804.554022096386	PC(38:7)(rep)(rep)	0.0598681975066465	0.0254877985699922	VIP <1	0.524168553859034	Normal
5.05_848.545896506024	PC(16:1/22:6)	0.35915011902552	0.132245283255144	VIP <1	0.479892104047037	Normal
5.08_880.585087831325	PC(44:11)	0.327007368571139	-0.172780970765536	VIP <1	0.483023421972532	Normal
5.12_883.535547174699	PI(18:1/20:4)	1.80813844657865	0.324131988558474	VIP <1	0.72461515265249	Normal
5.12_885.550018733333	PI(18:1/20:3)	0.0505882686908143	0.0756406283967049	VIP <1	0.430934913443734	Normal
5.13_723.541297162651	SM(d36:5)	0.342592635202071	0.086746794201039	VIP <1	0.394204037994559	Normal
5.14_701.559686837349	SM(d34:2)	1.7416828247245	0.168831787281322	VIP <1	0.590356980195383	Normal
5.14_806.569489710526	PC(38:6)	2.4039821963275	-0.498607269980927	VIP >=1	1.09426786853261	Down
5.19_792.553777421053	PC(37:6)	0.323579559468882	-0.0437681920070267	VIP <1	0.682134501214022	Normal
5.19_833.520030903614	PI(16:0/18:2)	0.66635996573832	0.174792643629584	VIP <1	0.506458041804553	Normal
5.2_728.522477506098	PC(32:3)(rep)	0.135028864478048	0.230228626654873	VIP <1	0.714710674638803	Normal
5.21_704.522472753012	PC(30:1)	0.481391208948092	-0.219533617162825	VIP <1	0.728416883176653	Normal
5.21_742.538275445783	PC(33:3)	0.0932890277884114	-0.0398555156647697	VIP <1	0.322811483583555	Normal
5.21_826.544013753012	PI(32:1)	0.0896475493911362	0.0155231841206149	VIP <1	0.468412359046029	Normal
5.22_860.609714096386	CerG2(d18:2/16:0)	2.72873489718235	0.435986473870573	VIP <1	0.852639378679635	Normal
5.24_754.538495024096	PC(34:4)(rep)	1.45192071361844	-0.26950340161656	VIP <1	0.891674836259291	Normal
5.25_798.530192072289	PC(14:0/20:4)	1.98581200404051	-0.305101783674897	VIP <1	0.959806218475863	Normal
5.26_803.606158162651	SM(d42:7)	0.00061820396432711	0.11012864289495	VIP <1	0.450784972551805	Normal
5.28_768.553820439024	PC(35:4)	0.795478804349204	0.405992058262295	VIP <1	0.505051066538238	Normal
5.29_738.506851150602	PE(36:5)	3.23112190341459	-2.11146957618856	VIP >=1	2.20089770001899	Down
5.3_736.492363024096	PE(18:3/18:2)	3.37511693518508	-2.2104893494377	VIP >=1	2.27376448354973	Down
5.3_876.56019626506	PI(16:0/20:4)(rep)	0.0459264112209504	0.00716372616601011	VIP <1	0.478448789711605	Normal
5.31_802.574524430303	PC(39:7p)	8.7999562534951	-2.20318352576735	VIP >=1	2.84877303560427	Down
5.32_859.535555391566	PI(18:1/18:2)	1.76871566064285	0.382136826268044	VIP <1	0.677070821959619	Normal
5.32_867.539299710843	PI(16:0e/22:6)	0.303531931419593	-0.120131670275089	VIP <1	0.259939792725021	Normal
5.33_830.569775524096	PC(40:8)	0.0432140047656522	0.0133300560019816	VIP <1	0.314775039220723	Normal
5.35_734.569432728916	PC(32:0)	0.47850144088232	0.113883868940656	VIP <1	0.479075890197729	Normal
5.35_874.56182010241	PC(20:4/20:4)	0.0923005040125792	-0.00840088624154038	VIP <1	0.261188310677225	Normal
5.37_874.560377415663	PS(43:7)	0.125734817684447	-0.0179978196768883	VIP <1	0.270351944201707	Normal
5.39_780.554157746988	PC(36:5)(rep)(rep)(rep)	3.32148211921251	-0.289657435951556	VIP >=1	1.13332931613476	Down
5.4_727.57569673494	SM(d36:3)	0.199121334835227	0.113194577621609	VIP <1	0.407331381639629	Normal
5.4_824.546060162651	PC(16:1/20:4)	2.31934156660281	-0.262663954184331	VIP <1	0.986076076120292	Normal
5.42_742.538190787879	PC(33:3)(rep)	0.545404023534086	0.248846432755002	VIP <1	0.558623805744752	Normal
5.42_902.575892933735	PI(38:5)	0.863852575932953	0.28331886111718	VIP <1	0.716634634707035	Normal
5.44_804.554145481928	PC(38:7)(rep)(rep)(rep)	0.0294228008181229	0.0315283902682432	VIP <1	0.461901814349866	Normal
5.44_883.534855933775	PI(16:0/22:5)	0.286583188910903	-0.0851902249853683	VIP <1	0.556052056538349	Normal
5.45_790.574556795181	PC(38:6p)	3.68507526426738	-0.788930731596193	VIP >=1	1.41793676057654	Down
5.45_848.544760987952	PC(16:1/22:6)(rep)	0.0258055496095928	0.0245537888629339	VIP <1	0.439957695975329	Normal
5.46_856.585390457831	PC(42:9)	0.580545952254955	-0.119039779118253	VIP <1	0.64722809437856	Normal
5.47_730.538932795181	PC(32:2)	0.829879801061192	-0.131541771134591	VIP <1	0.540746015076978	Normal
5.47_900.576039457831	PC(22:5/20:4)	0.0294228008181229	0.00019268191707669	VIP <1	0.457561805642843	Normal
5.48_677.559470933735	SM(d32:0)	0.933457067436861	-0.22588293207563	VIP <1	0.688268515582888	Normal
5.48_752.522467963855	PC(34:5)(rep)(rep)	0.696081609084061	-0.0841108097398344	VIP <1	0.396857472721625	Normal
5.49_721.550343981928	SM(d32:0)(rep)	1.40099217682694	-0.274320213101172	VIP <1	0.804737179491045	Normal
